Geolocation,Major Occupation,Year,Period,Sex,Employed Persons
PHILIPPINES,Total,2020,April,Both Sexes,33830.218
PHILIPPINES,Total,2020,April,Male,20943.933
PHILIPPINES,Total,2020,April,Female,12886.277
PHILIPPINES,Total,2020,July,Both Sexes,41301.646
PHILIPPINES,Total,2020,July,Male,25207.800
PHILIPPINES,Total,2020,July,Female,16093.855
PHILIPPINES,Total,2020,October,Both Sexes,39836.566
PHILIPPINES,Total,2020,October,Male,24704.857
PHILIPPINES,Total,2020,October,Female,15131.713
PHILIPPINES,Total,2020,Annual,Both Sexes,39377.844
PHILIPPINES,Total,2020,Annual,Male,24179.074
PHILIPPINES,Total,2020,Annual,Female,15198.772
PHILIPPINES,Total,2020,February,Both Sexes,..
PHILIPPINES,Total,2020,February,Male,..
PHILIPPINES,Total,2020,February,Female,..
PHILIPPINES,Total,2020,March,Both Sexes,..
PHILIPPINES,Total,2020,March,Male,..
PHILIPPINES,Total,2020,March,Female,..
PHILIPPINES,Total,2020,May,Both Sexes,..
PHILIPPINES,Total,2020,May,Male,..
PHILIPPINES,Total,2020,May,Female,..
PHILIPPINES,Total,2020,June,Both Sexes,..
PHILIPPINES,Total,2020,June,Male,..
PHILIPPINES,Total,2020,June,Female,..
PHILIPPINES,Total,2020,August,Both Sexes,..
PHILIPPINES,Total,2020,August,Male,..
PHILIPPINES,Total,2020,August,Female,..
PHILIPPINES,Total,2020,September,Both Sexes,..
PHILIPPINES,Total,2020,September,Male,..
PHILIPPINES,Total,2020,September,Female,..
PHILIPPINES,Total,2020,November,Both Sexes,..
PHILIPPINES,Total,2020,November,Male,..
PHILIPPINES,Total,2020,November,Female,..
PHILIPPINES,Total,2020,December,Both Sexes,..
PHILIPPINES,Total,2020,December,Male,..
PHILIPPINES,Total,2020,December,Female,..
PHILIPPINES,Total,2021,January,Both Sexes,41247.729
PHILIPPINES,Total,2021,January,Male,25323.004
PHILIPPINES,Total,2021,January,Female,1327.060
PHILIPPINES,Total,2021,April,Both Sexes,43268.969
PHILIPPINES,Total,2021,April,Male,25826.970
PHILIPPINES,Total,2021,April,Female,17441.999
PHILIPPINES,Total,2021,July,Both Sexes,41670.982
PHILIPPINES,Total,2021,July,Male,25452.736
PHILIPPINES,Total,2021,July,Female,16218.246
PHILIPPINES,Total,2021,October,Both Sexes,43821.554
PHILIPPINES,Total,2021,October,Male,26422.491
PHILIPPINES,Total,2021,October,Female,17399.063
PHILIPPINES,Total,2021,Annual,Both Sexes,43988.292
PHILIPPINES,Total,2021,Annual,Male,26367.112
PHILIPPINES,Total,2021,Annual,Female,17621.180
PHILIPPINES,Total,2021,February,Both Sexes,43153.471
PHILIPPINES,Total,2021,February,Male,26037.174
PHILIPPINES,Total,2021,February,Female,17116.296
PHILIPPINES,Total,2021,March,Both Sexes,45331.551
PHILIPPINES,Total,2021,March,Male,27044.210
PHILIPPINES,Total,2021,March,Female,18287.341
PHILIPPINES,Total,2021,May,Both Sexes,44716.897
PHILIPPINES,Total,2021,May,Male,26468.923
PHILIPPINES,Total,2021,May,Female,18247.974
PHILIPPINES,Total,2021,June,Both Sexes,45075.633
PHILIPPINES,Total,2021,June,Male,26801.518
PHILIPPINES,Total,2021,June,Female,18274.115
PHILIPPINES,Total,2021,August,Both Sexes,44231.042
PHILIPPINES,Total,2021,August,Male,26485.806
PHILIPPINES,Total,2021,August,Female,17745.236
PHILIPPINES,Total,2021,September,Both Sexes,43592.928
PHILIPPINES,Total,2021,September,Male,26224.637
PHILIPPINES,Total,2021,September,Female,17368.291
PHILIPPINES,Total,2021,November,Both Sexes,45474.286
PHILIPPINES,Total,2021,November,Male,27105.524
PHILIPPINES,Total,2021,November,Female,18368.762
PHILIPPINES,Total,2021,December,Both Sexes,46274.469
PHILIPPINES,Total,2021,December,Male,27212.355
PHILIPPINES,Total,2021,December,Female,19062.114
PHILIPPINES,Managers,2018,January,Both Sexes,6785.056
PHILIPPINES,Managers,2018,January,Male,3244.009
PHILIPPINES,Managers,2018,January,Female,3541.049
PHILIPPINES,Managers,2018,April,Both Sexes,6540.971
PHILIPPINES,Managers,2018,April,Male,3093.180
PHILIPPINES,Managers,2018,April,Female,3447.790
PHILIPPINES,Managers,2018,July,Both Sexes,6428.496
PHILIPPINES,Managers,2018,July,Male,2953.884
PHILIPPINES,Managers,2018,July,Female,3474.612
PHILIPPINES,Managers,2018,October,Both Sexes,6598.149
PHILIPPINES,Managers,2018,October,Male,3186.420
PHILIPPINES,Managers,2018,October,Female,3411.726
PHILIPPINES,Managers,2018,Annual,Both Sexes,6588.168
PHILIPPINES,Managers,2018,Annual,Male,3119.373
PHILIPPINES,Managers,2018,Annual,Female,3468.794
PHILIPPINES,Managers,2018,February,Both Sexes,..
PHILIPPINES,Managers,2018,February,Male,..
PHILIPPINES,Managers,2018,February,Female,..
PHILIPPINES,Managers,2018,March,Both Sexes,..
PHILIPPINES,Managers,2018,March,Male,..
PHILIPPINES,Managers,2018,March,Female,..
PHILIPPINES,Managers,2018,May,Both Sexes,..
PHILIPPINES,Managers,2018,May,Male,..
PHILIPPINES,Managers,2018,May,Female,..
PHILIPPINES,Managers,2018,June,Both Sexes,..
PHILIPPINES,Managers,2018,June,Male,..
PHILIPPINES,Managers,2018,June,Female,..
PHILIPPINES,Managers,2018,August,Both Sexes,..
PHILIPPINES,Managers,2018,August,Male,..
PHILIPPINES,Managers,2018,August,Female,..
PHILIPPINES,Managers,2018,September,Both Sexes,..
PHILIPPINES,Managers,2018,September,Male,..
PHILIPPINES,Managers,2018,September,Female,..
PHILIPPINES,Managers,2018,November,Both Sexes,..
PHILIPPINES,Managers,2018,November,Male,..
PHILIPPINES,Managers,2018,November,Female,..
PHILIPPINES,Managers,2018,December,Both Sexes,..
PHILIPPINES,Managers,2018,December,Male,..
PHILIPPINES,Managers,2018,December,Female,..
PHILIPPINES,Managers,2019,January,Both Sexes,5080.143
PHILIPPINES,Managers,2019,January,Male,2509.494
PHILIPPINES,Managers,2019,January,Female,2570.649
PHILIPPINES,Managers,2019,April,Both Sexes,4575.139
PHILIPPINES,Managers,2019,April,Male,2259.390
PHILIPPINES,Managers,2019,April,Female,2315.752
PHILIPPINES,Managers,2019,July,Both Sexes,4645.485
PHILIPPINES,Managers,2019,July,Male,2266.156
PHILIPPINES,Managers,2019,July,Female,2379.326
PHILIPPINES,Managers,2019,October,Both Sexes,4798.805
PHILIPPINES,Managers,2019,October,Male,2463.003
PHILIPPINES,Managers,2019,October,Female,2335.801
PHILIPPINES,Managers,2019,Annual,Both Sexes,4774.893
PHILIPPINES,Managers,2019,Annual,Male,2374.511
PHILIPPINES,Managers,2019,Annual,Female,2400.382
PHILIPPINES,Managers,2019,February,Both Sexes,..
PHILIPPINES,Managers,2019,February,Male,..
PHILIPPINES,Managers,2019,February,Female,..
PHILIPPINES,Managers,2019,March,Both Sexes,..
PHILIPPINES,Managers,2019,March,Male,..
PHILIPPINES,Managers,2019,March,Female,..
PHILIPPINES,Managers,2019,May,Both Sexes,..
PHILIPPINES,Managers,2019,May,Male,..
PHILIPPINES,Managers,2019,May,Female,..
PHILIPPINES,Managers,2019,June,Both Sexes,..
PHILIPPINES,Managers,2019,June,Male,..
PHILIPPINES,Managers,2019,June,Female,..
PHILIPPINES,Managers,2019,August,Both Sexes,..
PHILIPPINES,Managers,2019,August,Male,..
PHILIPPINES,Managers,2019,August,Female,..
PHILIPPINES,Managers,2019,September,Both Sexes,..
PHILIPPINES,Managers,2019,September,Male,..
PHILIPPINES,Managers,2019,September,Female,..
PHILIPPINES,Managers,2019,November,Both Sexes,..
PHILIPPINES,Managers,2019,November,Male,..
PHILIPPINES,Managers,2019,November,Female,..
PHILIPPINES,Managers,2019,December,Both Sexes,..
PHILIPPINES,Managers,2019,December,Male,..
PHILIPPINES,Managers,2019,December,Female,..
PHILIPPINES,Managers,2020,January,Both Sexes,3979.551
PHILIPPINES,Managers,2020,January,Male,2021.417
PHILIPPINES,Managers,2020,January,Female,1958.135
PHILIPPINES,Managers,2020,April,Both Sexes,3136.493
PHILIPPINES,Managers,2020,April,Male,1564.417
PHILIPPINES,Managers,2020,April,Female,1572.074
PHILIPPINES,Managers,2020,July,Both Sexes,3540.110
PHILIPPINES,Managers,2020,July,Male,1521.456
PHILIPPINES,Managers,2020,July,Female,2018.656
PHILIPPINES,Managers,2020,October,Both Sexes,3569.913
PHILIPPINES,Managers,2020,October,Male,1585.556
PHILIPPINES,Managers,2020,October,Female,1984.356
PHILIPPINES,Managers,2020,Annual,Both Sexes,3556.517
PHILIPPINES,Managers,2020,Annual,Male,1673.212
PHILIPPINES,Managers,2020,Annual,Female,1883.305
PHILIPPINES,Managers,2020,February,Both Sexes,..
PHILIPPINES,Managers,2020,February,Male,..
PHILIPPINES,Managers,2020,February,Female,..
PHILIPPINES,Managers,2020,March,Both Sexes,..
PHILIPPINES,Managers,2020,March,Male,..
PHILIPPINES,Managers,2020,March,Female,..
PHILIPPINES,Managers,2020,May,Both Sexes,..
PHILIPPINES,Managers,2020,May,Male,..
PHILIPPINES,Managers,2020,May,Female,..
PHILIPPINES,Managers,2020,June,Both Sexes,..
PHILIPPINES,Managers,2020,June,Male,..
PHILIPPINES,Managers,2020,June,Female,..
PHILIPPINES,Managers,2020,August,Both Sexes,..
PHILIPPINES,Managers,2020,August,Male,..
PHILIPPINES,Managers,2020,August,Female,..
PHILIPPINES,Managers,2020,September,Both Sexes,..
PHILIPPINES,Managers,2020,September,Male,..
PHILIPPINES,Managers,2020,September,Female,..
PHILIPPINES,Managers,2020,November,Both Sexes,..
PHILIPPINES,Managers,2020,November,Male,..
PHILIPPINES,Managers,2020,November,Female,..
PHILIPPINES,Managers,2020,December,Both Sexes,..
PHILIPPINES,Managers,2020,December,Male,..
PHILIPPINES,Managers,2020,December,Female,..
PHILIPPINES,Managers,2021,January,Both Sexes,3417.107
PHILIPPINES,Managers,2021,January,Male,1607.447
PHILIPPINES,Managers,2021,January,Female,150.805
PHILIPPINES,Managers,2021,April,Both Sexes,3551.555
PHILIPPINES,Managers,2021,April,Male,1637.355
PHILIPPINES,Managers,2021,April,Female,1914.200
PHILIPPINES,Managers,2021,July,Both Sexes,3486.928
PHILIPPINES,Managers,2021,July,Male,1540.832
PHILIPPINES,Managers,2021,July,Female,1946.096
PHILIPPINES,Managers,2021,October,Both Sexes,3649.454
PHILIPPINES,Managers,2021,October,Male,1656.839
PHILIPPINES,Managers,2021,October,Female,1913.872
PHILIPPINES,Managers,2021,Annual,Both Sexes,3297.107
PHILIPPINES,Managers,2021,Annual,Male,1549.477
PHILIPPINES,Managers,2021,Annual,Female,1747.631
PHILIPPINES,Managers,2021,February,Both Sexes,3802.294
PHILIPPINES,Managers,2021,February,Male,1769.809
PHILIPPINES,Managers,2021,February,Female,2032.485
PHILIPPINES,Managers,2021,March,Both Sexes,3510.159
PHILIPPINES,Managers,2021,March,Male,1655.259
PHILIPPINES,Managers,2021,March,Female,1854.900
PHILIPPINES,Managers,2021,May,Both Sexes,3508.763
PHILIPPINES,Managers,2021,May,Male,1606.009
PHILIPPINES,Managers,2021,May,Female,1902.754
PHILIPPINES,Managers,2021,June,Both Sexes,3101.360
PHILIPPINES,Managers,2021,June,Male,1548.065
PHILIPPINES,Managers,2021,June,Female,1553.296
PHILIPPINES,Managers,2021,August,Both Sexes,3310.960
PHILIPPINES,Managers,2021,August,Male,1545.165
PHILIPPINES,Managers,2021,August,Female,1765.796
PHILIPPINES,Managers,2021,September,Both Sexes,3049.963
PHILIPPINES,Managers,2021,September,Male,1295.256
PHILIPPINES,Managers,2021,September,Female,1754.707
PHILIPPINES,Managers,2021,November,Both Sexes,3332.451
PHILIPPINES,Managers,2021,November,Male,1675.830
PHILIPPINES,Managers,2021,November,Female,1570.561
PHILIPPINES,Managers,2021,December,Both Sexes,1844.291
PHILIPPINES,Managers,2021,December,Male,1055.854
PHILIPPINES,Managers,2021,December,Female,788.437
PHILIPPINES,Professionals,2018,January,Both Sexes,2202.998
PHILIPPINES,Professionals,2018,January,Male,808.350
PHILIPPINES,Professionals,2018,January,Female,1394.646
PHILIPPINES,Professionals,2018,April,Both Sexes,2198.503
PHILIPPINES,Professionals,2018,April,Male,828.457
PHILIPPINES,Professionals,2018,April,Female,1370.048
PHILIPPINES,Professionals,2018,July,Both Sexes,2242.585
PHILIPPINES,Professionals,2018,July,Male,778.785
PHILIPPINES,Professionals,2018,July,Female,1463.795
PHILIPPINES,Professionals,2018,October,Both Sexes,2326.444
PHILIPPINES,Professionals,2018,October,Male,830.533
PHILIPPINES,Professionals,2018,October,Female,1495.911
PHILIPPINES,Professionals,2018,Annual,Both Sexes,2242.633
PHILIPPINES,Professionals,2018,Annual,Male,811.531
PHILIPPINES,Professionals,2018,Annual,Female,1431.100
PHILIPPINES,Professionals,2018,February,Both Sexes,..
PHILIPPINES,Professionals,2018,February,Male,..
PHILIPPINES,Professionals,2018,February,Female,..
PHILIPPINES,Professionals,2018,March,Both Sexes,..
PHILIPPINES,Professionals,2018,March,Male,..
PHILIPPINES,Professionals,2018,March,Female,..
PHILIPPINES,Professionals,2018,May,Both Sexes,..
PHILIPPINES,Professionals,2018,May,Male,..
PHILIPPINES,Professionals,2018,May,Female,..
PHILIPPINES,Professionals,2018,June,Both Sexes,..
PHILIPPINES,Professionals,2018,June,Male,..
PHILIPPINES,Professionals,2018,June,Female,..
PHILIPPINES,Professionals,2018,August,Both Sexes,..
PHILIPPINES,Professionals,2018,August,Male,..
PHILIPPINES,Professionals,2018,August,Female,..
PHILIPPINES,Professionals,2018,September,Both Sexes,..
PHILIPPINES,Professionals,2018,September,Male,..
PHILIPPINES,Professionals,2018,September,Female,..
PHILIPPINES,Professionals,2018,November,Both Sexes,..
PHILIPPINES,Professionals,2018,November,Male,..
PHILIPPINES,Professionals,2018,November,Female,..
PHILIPPINES,Professionals,2018,December,Both Sexes,..
PHILIPPINES,Professionals,2018,December,Male,..
PHILIPPINES,Professionals,2018,December,Female,..
PHILIPPINES,Professionals,2019,January,Both Sexes,2304.226
PHILIPPINES,Professionals,2019,January,Male,798.500
PHILIPPINES,Professionals,2019,January,Female,1505.728
PHILIPPINES,Professionals,2019,April,Both Sexes,2261.758
PHILIPPINES,Professionals,2019,April,Male,798.076
PHILIPPINES,Professionals,2019,April,Female,1463.681
PHILIPPINES,Professionals,2019,July,Both Sexes,2307.362
PHILIPPINES,Professionals,2019,July,Male,802.076
PHILIPPINES,Professionals,2019,July,Female,1506.286
PHILIPPINES,Professionals,2019,October,Both Sexes,2575.906
PHILIPPINES,Professionals,2019,October,Male,932.195
PHILIPPINES,Professionals,2019,October,Female,1643.710
PHILIPPINES,Professionals,2019,Annual,Both Sexes,2362.313
PHILIPPINES,Professionals,2019,Annual,Male,832.712
PHILIPPINES,Professionals,2019,Annual,Female,1529.851
PHILIPPINES,Professionals,2019,February,Both Sexes,..
PHILIPPINES,Professionals,2019,February,Male,..
PHILIPPINES,Professionals,2019,February,Female,..
PHILIPPINES,Professionals,2019,March,Both Sexes,..
PHILIPPINES,Professionals,2019,March,Male,..
PHILIPPINES,Professionals,2019,March,Female,..
PHILIPPINES,Professionals,2019,May,Both Sexes,..
PHILIPPINES,Professionals,2019,May,Male,..
PHILIPPINES,Professionals,2019,May,Female,..
PHILIPPINES,Professionals,2019,June,Both Sexes,..
PHILIPPINES,Professionals,2019,June,Male,..
PHILIPPINES,Professionals,2019,June,Female,..
PHILIPPINES,Professionals,2019,August,Both Sexes,..
PHILIPPINES,Professionals,2019,August,Male,..
PHILIPPINES,Professionals,2019,August,Female,..
PHILIPPINES,Professionals,2019,September,Both Sexes,..
PHILIPPINES,Professionals,2019,September,Male,..
PHILIPPINES,Professionals,2019,September,Female,..
PHILIPPINES,Professionals,2019,November,Both Sexes,..
PHILIPPINES,Professionals,2019,November,Male,..
PHILIPPINES,Professionals,2019,November,Female,..
PHILIPPINES,Professionals,2019,December,Both Sexes,..
PHILIPPINES,Professionals,2019,December,Male,..
PHILIPPINES,Professionals,2019,December,Female,..
PHILIPPINES,Professionals,2020,January,Both Sexes,2456.982
PHILIPPINES,Professionals,2020,January,Male,857.402
PHILIPPINES,Professionals,2020,January,Female,1599.581
PHILIPPINES,Professionals,2020,April,Both Sexes,1968.583
PHILIPPINES,Professionals,2020,April,Male,687.562
PHILIPPINES,Professionals,2020,April,Female,1281.024
PHILIPPINES,Professionals,2020,July,Both Sexes,2086.724
PHILIPPINES,Professionals,2020,July,Male,754.943
PHILIPPINES,Professionals,2020,July,Female,1331.780
PHILIPPINES,Professionals,2020,October,Both Sexes,2389.980
PHILIPPINES,Professionals,2020,October,Male,861.184
PHILIPPINES,Professionals,2020,October,Female,1528.792
PHILIPPINES,Professionals,2020,Annual,Both Sexes,2225.567
PHILIPPINES,Professionals,2020,Annual,Male,790.273
PHILIPPINES,Professionals,2020,Annual,Female,1435.294
PHILIPPINES,Professionals,2020,February,Both Sexes,..
PHILIPPINES,Professionals,2020,February,Male,..
PHILIPPINES,Professionals,2020,February,Female,..
PHILIPPINES,Professionals,2020,March,Both Sexes,..
PHILIPPINES,Professionals,2020,March,Male,..
PHILIPPINES,Professionals,2020,March,Female,..
PHILIPPINES,Professionals,2020,May,Both Sexes,..
PHILIPPINES,Professionals,2020,May,Male,..
PHILIPPINES,Professionals,2020,May,Female,..
PHILIPPINES,Professionals,2020,June,Both Sexes,..
PHILIPPINES,Professionals,2020,June,Male,..
PHILIPPINES,Professionals,2020,June,Female,..
PHILIPPINES,Professionals,2020,August,Both Sexes,..
PHILIPPINES,Professionals,2020,August,Male,..
PHILIPPINES,Professionals,2020,August,Female,..
PHILIPPINES,Professionals,2020,September,Both Sexes,..
PHILIPPINES,Professionals,2020,September,Male,..
PHILIPPINES,Professionals,2020,September,Female,..
PHILIPPINES,Professionals,2020,November,Both Sexes,..
PHILIPPINES,Professionals,2020,November,Male,..
PHILIPPINES,Professionals,2020,November,Female,..
PHILIPPINES,Professionals,2020,December,Both Sexes,..
PHILIPPINES,Professionals,2020,December,Male,..
PHILIPPINES,Professionals,2020,December,Female,..
PHILIPPINES,Professionals,2021,January,Both Sexes,2359.204
PHILIPPINES,Professionals,2021,January,Male,802.404
PHILIPPINES,Professionals,2021,January,Female,129.733
PHILIPPINES,Professionals,2021,April,Both Sexes,2516.598
PHILIPPINES,Professionals,2021,April,Male,855.428
PHILIPPINES,Professionals,2021,April,Female,1661.170
PHILIPPINES,Professionals,2021,July,Both Sexes,2285.479
PHILIPPINES,Professionals,2021,July,Male,781.965
PHILIPPINES,Professionals,2021,July,Female,1503.514
PHILIPPINES,Professionals,2021,October,Both Sexes,2421.896
PHILIPPINES,Professionals,2021,October,Male,875.022
PHILIPPINES,Professionals,2021,October,Female,1581.980
PHILIPPINES,Professionals,2021,Annual,Both Sexes,2443.618
PHILIPPINES,Professionals,2021,Annual,Male,842.155
PHILIPPINES,Professionals,2021,Annual,Female,1601.463
PHILIPPINES,Professionals,2021,February,Both Sexes,2708.761
PHILIPPINES,Professionals,2021,February,Male,955.639
PHILIPPINES,Professionals,2021,February,Female,1753.121
PHILIPPINES,Professionals,2021,March,Both Sexes,2277.773
PHILIPPINES,Professionals,2021,March,Male,811.481
PHILIPPINES,Professionals,2021,March,Female,1466.293
PHILIPPINES,Professionals,2021,May,Both Sexes,2642.852
PHILIPPINES,Professionals,2021,May,Male,869.402
PHILIPPINES,Professionals,2021,May,Female,1773.450
PHILIPPINES,Professionals,2021,June,Both Sexes,2543.663
PHILIPPINES,Professionals,2021,June,Male,782.403
PHILIPPINES,Professionals,2021,June,Female,1761.261
PHILIPPINES,Professionals,2021,August,Both Sexes,2041.248
PHILIPPINES,Professionals,2021,August,Male,805.840
PHILIPPINES,Professionals,2021,August,Female,1235.408
PHILIPPINES,Professionals,2021,September,Both Sexes,2264.938
PHILIPPINES,Professionals,2021,September,Male,810.259
PHILIPPINES,Professionals,2021,September,Female,1454.679
PHILIPPINES,Professionals,2021,November,Both Sexes,2748.966
PHILIPPINES,Professionals,2021,November,Male,921.547
PHILIPPINES,Professionals,2021,November,Female,1833.471
PHILIPPINES,Professionals,2021,December,Both Sexes,2512.043
PHILIPPINES,Professionals,2021,December,Male,834.477
PHILIPPINES,Professionals,2021,December,Female,1677.566
PHILIPPINES,Technicians and Associate Professionals,2018,January,Both Sexes,1535.030
PHILIPPINES,Technicians and Associate Professionals,2018,January,Male,807.865
PHILIPPINES,Technicians and Associate Professionals,2018,January,Female,727.165
PHILIPPINES,Technicians and Associate Professionals,2018,April,Both Sexes,1682.149
PHILIPPINES,Technicians and Associate Professionals,2018,April,Male,882.455
PHILIPPINES,Technicians and Associate Professionals,2018,April,Female,799.696
PHILIPPINES,Technicians and Associate Professionals,2018,July,Both Sexes,1789.529
PHILIPPINES,Technicians and Associate Professionals,2018,July,Male,916.109
PHILIPPINES,Technicians and Associate Professionals,2018,July,Female,873.420
PHILIPPINES,Technicians and Associate Professionals,2018,October,Both Sexes,1643.333
PHILIPPINES,Technicians and Associate Professionals,2018,October,Male,829.729
PHILIPPINES,Technicians and Associate Professionals,2018,October,Female,813.605
PHILIPPINES,Technicians and Associate Professionals,2018,Annual,Both Sexes,1662.510
PHILIPPINES,Technicians and Associate Professionals,2018,Annual,Male,859.040
PHILIPPINES,Technicians and Associate Professionals,2018,Annual,Female,803.472
PHILIPPINES,Technicians and Associate Professionals,2018,February,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,February,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,February,Female,..
PHILIPPINES,Technicians and Associate Professionals,2018,March,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,March,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,March,Female,..
PHILIPPINES,Technicians and Associate Professionals,2018,May,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,May,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,May,Female,..
PHILIPPINES,Technicians and Associate Professionals,2018,June,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,June,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,June,Female,..
PHILIPPINES,Technicians and Associate Professionals,2018,August,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,August,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,August,Female,..
PHILIPPINES,Technicians and Associate Professionals,2018,September,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,September,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,September,Female,..
PHILIPPINES,Technicians and Associate Professionals,2018,November,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,November,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,November,Female,..
PHILIPPINES,Technicians and Associate Professionals,2018,December,Both Sexes,..
PHILIPPINES,Technicians and Associate Professionals,2018,December,Male,..
PHILIPPINES,Technicians and Associate Professionals,2018,December,Female,..
PHILIPPINES,Technicians and Associate Professionals,2019,January,Both Sexes,1802.591
PHILIPPINES,Technicians and Associate Professionals,2019,January,Male,926.191
PHILIPPINES,Technicians and Associate Professionals,2019,January,Female,876.399
PHILIPPINES,Technicians and Associate Professionals,2019,April,Both Sexes,1775.054
PHILIPPINES,Technicians and Associate Professionals,2019,April,Male,894.871
PHILIPPINES,Technicians and Associate Professionals,2019,April,Female,880.186
PHILIPPINES,Technicians and Associate Professionals,2019,July,Both Sexes,1799.980
PHILIPPINES,Technicians and Associate Professionals,2019,July,Male,869.239
PHILIPPINES,Technicians and Associate Professionals,2019,July,Female,930.742
PHILIPPINES,Technicians and Associate Professionals,2019,October,Both Sexes,1695.996
PHILIPPINES,Technicians and Associate Professionals,2019,October,Male,837.337
